date,AvgTemperature,Population,lat,lon,Wk avg 1-hour SO2 Conc ppb,Wk avg PM10 Conc ug/m3 SC,Wk avg PM2.5 Conc ug/m3 LC,Wk avg NO2 Conc
2000-01-02,52.7,11798000,34.1365,-117.92391,2.125,35.888888888888886,33.099999999999994,34.5
2000-01-09,55.285714285714285,11798000,34.1365,-117.92391,8.642857142857142,46.6,27.651515151515152,63.596638655462186
2000-01-16,59.37142857142857,11798000,34.1365,-117.92391,6.464285714285714,53.5,36.4911111111111,71.0
2000-01-23,60.62857142857143,11798000,34.1365,-117.92391,4.357142857142857,26.727272727272727,21.054761904761904,49.38655462184874
2000-01-30,57.542857142857144,11798000,34.1365,-117.92391,5.25,16.90909090909091,23.927500000000002,49.95762711864407
2000-02-06,60.25714285714286,11798000,34.1365,-117.92391,5.142857142857143,27.192307692307693,16.416666666666668,51.18487394957983
2000-02-13,57.285714285714285,11798000,34.1365,-117.92391,4.0,13.176470588235293,13.912121212121212,46.95798319327731
2000-02-20,57.91428571428571,11798000,34.1365,-117.92391,3.8214285714285716,17.5,12.073170731707318,39.857142857142854
2000-02-27,54.14285714285713,11798000,34.1365,-117.92391,2.892857142857143,14.833333333333334,12.69333333333333,41.36974789915966
2000-03-05,54.58571428571429,11798000,34.1365,-117.92391,3.5454545454545454,16.866666666666667,10.95128205128205,42.0672268907563
2000-03-12,55.271428571428565,11798000,34.1365,-117.92391,3.7142857142857144,16.1875,11.255555555555553,43.65546218487395
2000-03-19,58.15714285714286,11798000,34.1365,-117.92391,6.228571428571429,37.0,29.4675,64.16806722689076
2000-03-26,58.800000000000004,11798000,34.1365,-117.92391,5.285714285714286,38.86666666666667,14.350000000000001,47.7563025210084
2000-04-02,61.18571428571429,11798000,34.1365,-117.92391,3.914285714285714,44.93333333333333,12.715789473684207,46.747899159663866
2000-04-09,59.08571428571429,11798000,34.1365,-117.92391,4.514285714285714,41.5,23.22916666666667,52.21848739495798
2000-04-16,59.57142857142857,11798000,34.1365,-117.92391,4.685714285714286,32.266666666666666,15.992682926829266,48.79831932773109
2000-04-23,58.88571428571429,11798000,34.1365,-117.92391,3.257142857142857,16.533333333333335,10.142500000000002,42.55263157894737
2000-04-30,63.271428571428565,11798000,34.1365,-117.92391,6.285714285714286,36.4,19.01162790697675,56.922413793103445
2000-05-07,63.72857142857142,11798000,34.1365,-117.92391,4.771428571428571,30.733333333333334,18.78918918918919,45.355932203389834
2000-05-14,62.34285714285715,11798000,34.1365,-117.92391,5.2,34.125,12.051219512195123,42.69747899159664
2000-05-21,62.08571428571429,11798000,34.1365,-117.92391,8.771428571428572,33.5,15.763414634146338,48.596638655462186
2000-05-28,64.81428571428572,11798000,34.1365,-117.92391,9.885714285714286,29.333333333333332,18.64705882352941,43.436974789915965
2000-06-04,66.0,11798000,34.1365,-117.92391,5.3428571428571425,38.06666666666667,22.341666666666665,42.81512605042017
2000-06-11,65.27142857142857,11798000,34.1365,-117.92391,5.285714285714286,31.2,11.239024390243904,42.05882352941177
2000-06-18,67.15714285714286,11798000,34.1365,-117.92391,3.942857142857143,25.066666666666666,14.286486486486485,40.63025210084034
2000-06-25,67.62857142857143,11798000,34.1365,-117.92391,3.142857142857143,28.235294117647058,14.241666666666667,37.80672268907563
2000-07-02,68.61428571428571,11798000,34.1365,-117.92391,4.314285714285714,33.0,18.347368421052632,41.865546218487395
2000-07-09,66.4,11798000,34.1365,-117.92391,4.142857142857143,36.285714285714285,16.715789473684215,33.05882352941177
2000-07-16,66.38571428571427,11798000,34.1365,-117.92391,5.257142857142857,26.875,14.21714285714286,38.67226890756302
2000-07-23,68.65714285714284,11798000,34.1365,-117.92391,7.685714285714286,33.54545454545455,18.53478260869565,60.34453781512605
2000-07-30,68.78571428571429,11798000,34.1365,-117.92391,6.514285714285714,36.0,20.332499999999996,53.84033613445378
2000-08-06,70.01428571428572,11798000,34.1365,-117.92391,8.17142857142857,34.0,17.42571428571429,51.059322033898304
2000-08-13,69.84285714285716,11798000,34.1365,-117.92391,6.828571428571428,33.857142857142854,18.848780487804877,56.35294117647059
2000-08-20,72.71428571428571,11798000,34.1365,-117.92391,7.285714285714286,39.5625,19.903846153846153,59.285714285714285
2000-08-27,68.62857142857142,11798000,34.1365,-117.92391,6.228571428571429,38.0,18.93142857142857,46.10084033613445
2000-09-03,67.15714285714286,11798000,34.1365,-117.92391,3.7142857142857144,24.043478260869566,10.356521739130436,27.53448275862069
2000-09-10,67.04285714285716,11798000,34.1365,-117.92391,7.3428571428571425,34.07142857142857,18.263636363636362,62.44642857142857
2000-09-17,71.95714285714287,11798000,34.1365,-117.92391,7.057142857142857,36.5,17.537499999999998,70.65178571428571
2000-09-24,67.75714285714285,11798000,34.1365,-117.92391,3.3142857142857145,28.333333333333332,15.176190476190481,42.910714285714285
2000-10-01,68.00000000000001,11798000,34.1365,-117.92391,4.914285714285715,38.4375,23.637142857142862,48.455357142857146
2000-10-08,65.39999999999999,11798000,34.1365,-117.92391,2.914285714285714,37.4,22.325641025641023,43.25
2000-10-15,61.442857142857136,11798000,34.1365,-117.92391,3.914285714285714,34.095238095238095,18.437499999999996,43.892857142857146
2000-10-22,62.81428571428571,11798000,34.1365,-117.92391,4.6571428571428575,37.529411764705884,41.300000000000004,70.40178571428571
2000-10-29,62.99999999999999,11798000,34.1365,-117.92391,4.3428571428571425,15.266666666666667,9.586486486486487,41.94642857142857
2000-11-05,61.55714285714286,11798000,34.1365,-117.92391,5.228571428571429,27.333333333333332,15.854545454545457,47.794642857142854
